token	type
midnightblue (#221265)	color
darkgreen (#223912)	color
midnightblue (#122291)	color
darkgreen (#123B22)	color
darkgreen (#226312)	color
mediumblue (#1222BC)	color
black (#121022)	color
brown (#8D1222)	color
limegreen (#22E612)	color
limegreen (#12E622)	color
midnightblue (#22128D)	color
black (#221012)	color
firebrick (#BC2212)	color
darkgreen (#126322)	color
darkgreen (#223B12)	color
brown (#912212)	color
darkgreen (#123922)	color
maroon (#651222)	color
midnightblue (#221267)	color
black (#120E22)	color
brown (#8F1222)	color
midnightblue (#22123D)	color
crimson (#E42212)	color
mediumblue (#1222BA)	color
black (#121222)	color
turquoise (#22D0D0)	color
magenta (#ED22D0)	color
crimson (#D0223C)	color
limegreen (#20D022)	color
lightseagreen (#22D09D)	color
steelblue (#228CD0)	color
yellowgreen (#70D022)	color
limegreen (#22D04D)	color
turquoise (#22DBD0)	color
darkorchid (#D022BF)	color
greenyellow (#D0FE22)	color
mediumblue (#222BD0)	color
firebrick (#D0220F)	color
goldenrod (#D0AE22)	color
yellowgreen (#7BD022)	color
royalblue (#225FD0)	color
chocolate (#D05F22)	color
mediumseagreen (#22D07B)	color
lightseagreen (#22AED0)	color
mediumblue (#0F22D0)	color
firebrick (#D02B22)	color
turquoise (#22FED0)	color
darkorchid (#BF22D0)	color
greenyellow (#D0DB22)	color
limegreen (#4DD022)	color
mediumseagreen (#22D070)	color
goldenrod (#D08C22)	color
yellowgreen (#9DD022)	color
limegreen (#22D020)	color
mediumblue (#3C22D0)	color
magenta (#D022ED)	color
goldenrod (#D0D022)	color
darkcyan (#228E8E)	color
midnightblue (#20228E)	color
darkmagenta (#8E2294)	color
forestgreen (#038E22)	color
lightseagreen (#228EAB)	color
midnightblue (#22098E)	color
olivedrab (#788E22)	color
forestgreen (#228E36)	color
darkcyan (#227E8E)	color
blueviolet (#8E22ED)	color
yellowgreen (#8EC122)	color
mediumspringgreen (#22F38E)	color
purple (#8E2262)	color
saddlebrown (#8E4C22)	color
olivedrab (#688E22)	color
lightseagreen (#22D78E)	color
yellowgreen (#8ED722)	color
seagreen (#228E68)	color
darkslateblue (#224C8E)	color
darkslateblue (#62228E)	color
greenyellow (#8EF322)	color
lightseagreen (#22C18E)	color
deeppink (#ED228E)	color
olive (#8E7E22)	color
forestgreen (#368E22)	color
seagreen (#228E78)	color
darkred (#8E0922)	color
darkgoldenrod (#AB8E22)	color
forestgreen (#228E03)	color
darkmagenta (#94228E)	color
brown (#8E2220)	color
olivedrab (#8E8E22)	color
darkslategray (#224C4C)	color
darkslategray (#52224C)	color
blueviolet (#4C22ED)	color
chocolate (#E74C22)	color
royalblue (#224CB8)	color
seagreen (#22874C)	color
saddlebrown (#814C22)	color
darkslategray (#224C1E)	color
midnightblue (#22214C)	color
maroon (#4C221B)	color
darkolivegreen (#4C8422)	color
limegreen (#22BB4C)	color
darkslateblue (#4C22B5)	color
limegreen (#4CEA22)	color
darkolivegreen (#554C22)	color
darkslategray (#224F4C)	color
darkolivegreen (#4C4F22)	color
darkslategray (#224C55)	color
limegreen (#22EA4C)	color
brown (#B5224C)	color
limegreen (#4CBB22)	color
seagreen (#22844C)	color
midnightblue (#1B224C)	color
maroon (#4C2122)	color
darkslategray (#1E4C22)	color
darkslateblue (#224C81)	color
olivedrab (#4C8722)	color
sienna (#B84C22)	color
royalblue (#224CE7)	color
crimson (#ED224C)	color
darkslategray (#4C2252)	color
darkolivegreen (#4C4C22)	color
black (#220A0A)	color
maroon (#85220A)	color
midnightblue (#0A2245)	color
crimson (#CA0A22)	color
mediumblue (#220AC6)	color
black (#22040A)	color
darkred (#890A22)	color
black (#220A06)	color
limegreen (#22C40A)	color
midnightblue (#0A2249)	color
darkgreen (#0A4722)	color
forestgreen (#22830A)	color
black (#0A2208)	color
forestgreen (#0A8722)	color
maroon (#430A22)	color
limegreen (#22C80A)	color
limegreen (#0AC822)	color
midnightblue (#220A43)	color
forestgreen (#22870A)	color
black (#08220A)	color
forestgreen (#0A8322)	color
darkgreen (#22470A)	color
maroon (#49220A)	color
limegreen (#0AC422)	color
black (#060A22)	color
midnightblue (#220A89)	color
black (#0A0422)	color
firebrick (#C60A22)	color
mediumblue (#220ACA)	color
maroon (#45220A)	color
midnightblue (#0A2285)	color
black (#0A0A22)	color
darkturquoise (#22C8C8)	color
darkorchid (#B822C8)	color
mediumvioletred (#C8229D)	color
yellowgreen (#ADC822)	color
darkturquoise (#22C8D3)	color
steelblue (#2282C8)	color
yellowgreen (#92C822)	color
deepskyblue (#22C8EF)	color
royalblue (#2267C8)	color
mediumvioletred (#C82277)	color
firebrick (#C80A22)	color
royalblue (#224BC8)	color
crimson (#C8225C)	color
firebrick (#C82522)	color
limegreen (#30C822)	color
royalblue (#2240C8)	color
firebrick (#C84022)	color
limegreen (#22C830)	color
mediumblue (#2225C8)	color
blueviolet (#5C22C8)	color
chocolate (#C84B22)	color
mediumblue (#220AC8)	color
blueviolet (#7722C8)	color
chocolate (#C86722)	color
gold (#EFC822)	color
lightseagreen (#22C892)	color
chocolate (#C88222)	color
goldenrod (#D3C822)	color
lightseagreen (#22C8AD)	color
darkorchid (#9D22C8)	color
mediumvioletred (#C822B8)	color
goldenrod (#C8C822)	color
darkcyan (#228686)	color
deeppink (#EB2286)	color
blueviolet (#8622F5)	color
olive (#918622)	color
dodgerblue (#2286E1)	color
springgreen (#22FF86)	color
darkgoldenrod (#9B8622)	color
dodgerblue (#2286D7)	color
midnightblue (#220986)	color
darkmagenta (#8622A5)	color
yellowgreen (#86CD22)	color
midnightblue (#221386)	color
darkorchid (#8622AF)	color
yellowgreen (#86C322)	color
forestgreen (#1D8622)	color
mediumseagreen (#22B986)	color
yellowgreen (#86B922)	color
forestgreen (#22861D)	color
mediumseagreen (#22C386)	color
mediumvioletred (#AF2286)	color
darkred (#861322)	color
mediumseagreen (#22CD86)	color
mediumvioletred (#A52286)	color
darkred (#860922)	color
chocolate (#D78622)	color
darkcyan (#22869B)	color
chartreuse (#86FF22)	color
goldenrod (#E18622)	color
darkcyan (#228691)	color
deeppink (#F52286)	color
blueviolet (#8622EB)	color
olivedrab (#868622)	color
darkslategray (#224444)	color
midnightblue (#1E2244)	color
darkslategray (#44224D)	color
saddlebrown (#744422)	color
royalblue (#2244EF)	color
seagreen (#227D44)	color
sienna (#A34422)	color
royalblue (#2244BF)	color
seagreen (#22AC44)	color
slateblue (#4422D3)	color
forestgreen (#449022)	color
limegreen (#22DB44)	color
maroon (#442202)	color
darkolivegreen (#446122)	color
darkgreen (#0B4422)	color
darkslategray (#223144)	color
darkslategray (#443122)	color
darkgreen (#22440B)	color
darkslategray (#226144)	color
midnightblue (#022244)	color
limegreen (#44DB22)	color
seagreen (#229044)	color
crimson (#D32244)	color
limegreen (#44AC22)	color
sienna (#BF4422)	color
darkslateblue (#2244A3)	color
darkolivegreen (#447D22)	color
orangered (#EF4422)	color
darkslategray (#224474)	color
darkslategray (#4D2244)	color
darkslategray (#44221E)	color
darkolivegreen (#444422)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
darkslategray (#333333)	color
turquoise (#33D0D0)	color
mediumblue (#0033D0)	color
crimson (#D03338)	color
limegreen (#08D033)	color
mediumturquoise (#33D0C8)	color
royalblue (#3370D0)	color
limegreen (#40D033)	color
mediumseagreen (#33D090)	color
lightseagreen (#33A8D0)	color
mediumvioletred (#D03378)	color
chocolate (#D05833)	color
turquoise (#33E0D0)	color
mediumvioletred (#D033B0)	color
crimson (#D02033)	color
limegreen (#17D033)	color
turquoise (#33E8D0)	color
greenyellow (#D0E833)	color
limegreen (#33D017)	color
mediumblue (#3320D0)	color
darkorchid (#B033D0)	color
greenyellow (#D0E033)	color
royalblue (#3358D0)	color
blueviolet (#7833D0)	color
goldenrod (#D0A833)	color
yellowgreen (#90D033)	color
limegreen (#33D040)	color
chocolate (#D07033)	color
yellowgreen (#C8D033)	color
limegreen (#33D008)	color
royalblue (#3833D0)	color
firebrick (#D03300)	color
goldenrod (#D0D033)	color
seagreen (#336D6D)	color
mediumvioletred (#CC336D)	color
saddlebrown (#6D333C)	color
chocolate (#DD6D33)	color
seagreen (#336D5C)	color
mediumseagreen (#33AC6D)	color
darkolivegreen (#4D6D33)	color
royalblue (#336DEC)	color
midnightblue (#331C6D)	color
slateblue (#6D33BD)	color
olivedrab (#6D7D33)	color
seagreen (#338C6D)	color
saddlebrown (#6D332D)	color
maroon (#6D0D33)	color
tomato (#FC6D33)	color
mediumseagreen (#339D6D)	color
olivedrab (#6D9D33)	color
royalblue (#336DFC)	color
midnightblue (#330D6D)	color
midnightblue (#2D336D)	color
olivedrab (#6D8C33)	color
seagreen (#337D6D)	color
mediumvioletred (#BD336D)	color
brown (#6D1C33)	color
tomato (#EC6D33)	color
darkslategray (#336D4D)	color
olivedrab (#6DAC33)	color
darkolivegreen (#5C6D33)	color
royalblue (#336DDD)	color
darkslateblue (#3C336D)	color
blueviolet (#6D33CC)	color
darkolivegreen (#6D6D33)	color
black (#330A0A)	color
saddlebrown (#99330A)	color
darkslategray (#0A3340)	color
firebrick (#B20A33)	color
blue (#330AF1)	color
limegreen (#33E80A)	color
maroon (#5A0A33)	color
midnightblue (#330A49)	color
forestgreen (#33900A)	color
darkgreen (#0A3302)	color
forestgreen (#0AA133)	color
darkgreen (#33380A)	color
darkblue (#0A33AA)	color
lime (#0AF933)	color
crimson (#E00A33)	color
darkgreen (#33520A)	color
darkslategray (#0A5233)	color
mediumblue (#330AE0)	color
lime (#33F90A)	color
firebrick (#AA330A)	color
darkslategray (#0A3833)	color
forestgreen (#33A10A)	color
darkgreen (#02330A)	color
forestgreen (#0A9033)	color
maroon (#490A33)	color
midnightblue (#330A5A)	color
limegreen (#0AE833)	color
crimson (#F10A33)	color
indigo (#330AB2)	color
darkolivegreen (#40330A)	color
midnightblue (#0A3399)	color
black (#0A0A33)	color
lightseagreen (#33A7A7)	color
darkslateblue (#6533A7)	color
brown (#A73345)	color
olivedrab (#87A733)	color
mediumseagreen (#33A785)	color
darkslateblue (#3324A7)	color
olivedrab (#67A733)	color
lightseagreen (#33A7A5)	color
indigo (#3304A7)	color
brown (#A73347)	color
yellowgreen (#A7C633)	color
turquoise (#33E4A7)	color
brown (#A73326)	color
greenyellow (#A7E633)	color
goldenrod (#C4A733)	color
indigo (#3306A7)	color
firebrick (#A70633)	color
lightseagreen (#33A7C4)	color
turquoise (#33E6A7)	color
darkslateblue (#2633A7)	color
yellowgreen (#A7E433)	color
lightseagreen (#33C6A7)	color
darkslateblue (#4733A7)	color
firebrick (#A70433)	color
yellowgreen (#A5A733)	color
mediumseagreen (#33A767)	color
brown (#A72433)	color
olivedrab (#85A733)	color
mediumseagreen (#33A787)	color
darkslateblue (#4533A7)	color
mediumvioletred (#A73365)	color
yellowgreen (#A7A733)	color
darkslategray (#334444)	color
darkslategray (#313344)	color
darkslategray (#443349)	color
darkolivegreen (#5C4433)	color
darkslategray (#33441A)	color
darkslategray (#336144)	color
saddlebrown (#744433)	color
darkgreen (#334402)	color
seagreen (#337844)	color
darkslateblue (#44338C)	color
limegreen (#44EA33)	color
seagreen (#339044)	color
darkslateblue (#4433A3)	color
limegreen (#44D333)	color
sienna (#A84433)	color
limegreen (#33BB44)	color
limegreen (#44BB33)	color
darkslateblue (#3344A8)	color
limegreen (#33D344)	color
brown (#A33344)	color
forestgreen (#449033)	color
limegreen (#33EA44)	color
brown (#8C3344)	color
darkolivegreen (#447833)	color
darkslategray (#024433)	color
darkslateblue (#334474)	color
darkolivegreen (#446133)	color
darkslategray (#1A4433)	color
darkslategray (#33445C)	color
darkslategray (#493344)	color
darkslategray (#443331)	color
darkslategray (#444433)	color
turquoise (#33E1E1)	color
magenta (#FE33E1)	color
crimson (#E1334D)	color
limegreen (#31E133)	color
turquoise (#33E1AE)	color
dodgerblue (#339DE1)	color
yellowgreen (#81E133)	color
limegreen (#33E15E)	color
turquoise (#33ECE1)	color
mediumorchid (#E133D0)	color
crimson (#E10F33)	color
royalblue (#333CE1)	color
crimson (#E13320)	color
goldenrod (#E1BF33)	color
yellowgreen (#8CE133)	color
royalblue (#3370E1)	color
chocolate (#E17033)	color
mediumseagreen (#33E18C)	color
mediumturquoise (#33BFE1)	color
royalblue (#2033E1)	color
crimson (#E13C33)	color
mediumblue (#330FE1)	color
mediumorchid (#D033E1)	color
greenyellow (#E1EC33)	color
limegreen (#5EE133)	color
mediumseagreen (#33E181)	color
goldenrod (#E19D33)	color
yellowgreen (#AEE133)	color
limegreen (#33E131)	color
slateblue (#4D33E1)	color
magenta (#E133FE)	color
gold (#E1E133)	color
seagreen (#337E7E)	color
mediumvioletred (#CA337E)	color
brown (#7E3352)	color
forestgreen (#067E33)	color
seagreen (#337E42)	color
mediumseagreen (#33D97E)	color
olivedrab (#8E7E33)	color
steelblue (#337EBB)	color
darkslateblue (#33617E)	color
saddlebrown (#7E3315)	color
saddlebrown (#7E3333)	color
mediumseagreen (#33E87E)	color
darkorchid (#7E339D)	color
olivedrab (#7EAC33)	color
olivedrab (#707E33)	color
midnightblue (#33247E)	color
brown (#7E2433)	color
seagreen (#337E70)	color
mediumseagreen (#33AC7E)	color
mediumvioletred (#9D337E)	color
yellowgreen (#7EE833)	color
darkslateblue (#33337E)	color
midnightblue (#15337E)	color
sienna (#7E6133)	color
peru (#BB7E33)	color
steelblue (#337E8E)	color
yellowgreen (#7ED933)	color
darkolivegreen (#427E33)	color
forestgreen (#337E06)	color
darkslateblue (#52337E)	color
darkorchid (#7E33CA)	color
olivedrab (#7E7E33)	color
black (#331B1B)	color
saddlebrown (#96331B)	color
darkslategray (#1B3356)	color
crimson (#DB1B33)	color
mediumblue (#331BD7)	color
black (#33151B)	color
brown (#9A1B33)	color
black (#331B17)	color
limegreen (#33D51B)	color
midnightblue (#1B335A)	color
darkslategray (#1B5833)	color
forestgreen (#33941B)	color
darkgreen (#1B3319)	color
forestgreen (#1B9833)	color
darkslategray (#541B33)	color
limegreen (#33D91B)	color
limegreen (#1BD933)	color
midnightblue (#331B54)	color
forestgreen (#33981B)	color
darkgreen (#19331B)	color
forestgreen (#1B9433)	color
darkolivegreen (#33581B)	color
saddlebrown (#5A331B)	color
limegreen (#1BD533)	color
midnightblue (#171B33)	color
darkslateblue (#331B9A)	color
midnightblue (#1B1533)	color
crimson (#D71B33)	color
mediumblue (#331BDB)	color
saddlebrown (#56331B)	color
midnightblue (#1B3396)	color
midnightblue (#1B1B33)	color
lightseagreen (#33B8B8)	color
slateblue (#6333B8)	color
indianred (#B8335A)	color
yellowgreen (#B0B833)	color
mediumseagreen (#33B86B)	color
royalblue (#3352B8)	color
yellowgreen (#A7B833)	color
mediumseagreen (#33B874)	color
darkslateblue (#3349B8)	color
mediumvioletred (#B8339F)	color
peru (#B87C33)	color
darkslateblue (#3340B8)	color
mediumvioletred (#B83396)	color
peru (#B88533)	color
limegreen (#38B833)	color
steelblue (#338EB8)	color
peru (#B88E33)	color
limegreen (#33B838)	color
steelblue (#3385B8)	color
darkorchid (#9633B8)	color
brown (#B84033)	color
steelblue (#337CB8)	color
darkorchid (#9F33B8)	color
sienna (#B84933)	color
yellowgreen (#74B833)	color
lightseagreen (#33B8A7)	color
sienna (#B85233)	color
olivedrab (#6BB833)	color
lightseagreen (#33B8B0)	color
slateblue (#5A33B8)	color
indianred (#B83363)	color
yellowgreen (#B8B833)	color
darkslategray (#335555)	color
darkslategray (#2F3355)	color
darkslateblue (#55335E)	color
sienna (#855533)	color
darkgreen (#335500)	color
seagreen (#338E55)	color
sienna (#B45533)	color
royalblue (#3355D0)	color
mediumseagreen (#33BD55)	color
slateblue (#5533E4)	color
olivedrab (#55A133)	color
limegreen (#33EC55)	color
saddlebrown (#553313)	color
darkolivegreen (#557233)	color
darkslategray (#1C5533)	color
darkslategray (#334255)	color
darkolivegreen (#554233)	color
darkolivegreen (#33551C)	color
seagreen (#337255)	color
midnightblue (#133355)	color
limegreen (#55EC33)	color
seagreen (#33A155)	color
crimson (#E43355)	color
limegreen (#55BD33)	color
chocolate (#D05533)	color
steelblue (#3355B4)	color
olivedrab (#558E33)	color
darkgreen (#005533)	color
darkslateblue (#335585)	color
darkslategray (#5E3355)	color
darkolivegreen (#55332F)	color
darkolivegreen (#555533)	color
turquoise (#33F2F2)	color
magenta (#FB33F2)	color
crimson (#F23363)	color
limegreen (#5AF233)	color
mediumspringgreen (#33F294)	color
turquoise (#33CAF2)	color
greenyellow (#C1F233)	color
limegreen (#33F22D)	color
royalblue (#3331F2)	color
crimson (#F23328)	color
goldenrod (#F2C633)	color
dodgerblue (#3399F2)	color
deeppink (#F23390)	color
tomato (#F25E33)	color
lime (#00F233)	color
turquoise (#33F7F2)	color
yellow (#F2F733)	color
lime (#33F200)	color
royalblue (#335EF2)	color
blueviolet (#9033F2)	color
goldenrod (#F29933)	color
turquoise (#33C6F2)	color
royalblue (#2833F2)	color
crimson (#F23133)	color
limegreen (#2DF233)	color
turquoise (#33F2C1)	color
goldenrod (#F2CA33)	color
greenyellow (#94F233)	color
limegreen (#33F25A)	color
blueviolet (#6333F2)	color
magenta (#F233FB)	color
yellow (#F2F233)	color
steelblue (#338F8F)	color
mediumvioletred (#C8338F)	color
purple (#8F3367)	color
forestgreen (#2F8F33)	color
forestgreen (#338F29)	color
indigo (#33068F)	color
peru (#CE8F33)	color
mediumseagreen (#338F89)	color
mediumseagreen (#33A58F)	color
purple (#8F336D)	color
yellowgreen (#8FEA33)	color
darkslateblue (#33458F)	color
saddlebrown (#8F330C)	color
sienna (#8F4B33)	color
peru (#E48F33)	color
mediumseagreen (#33AC8F)	color
yellowgreen (#8FAC33)	color
dodgerblue (#338FE4)	color
darkslateblue (#334B8F)	color
midnightblue (#0C338F)	color
sienna (#8F4533)	color
mediumspringgreen (#33EA8F)	color
darkslateblue (#6D338F)	color
yellowgreen (#8FA533)	color
olivedrab (#898F33)	color
steelblue (#338FCE)	color
brown (#8F0633)	color
forestgreen (#298F33)	color
forestgreen (#338F2F)	color
darkslateblue (#67338F)	color
darkorchid (#8F33C8)	color
olivedrab (#8F8F33)	color
darkslategray (#332C2C)	color
brown (#94332C)	color
midnightblue (#2C336B)	color
darkslategray (#042C33)	color
darkslateblue (#332CBD)	color
darkslategray (#33422C)	color
crimson (#DB2C33)	color
royalblue (#332CE6)	color
darkslategray (#331A2C)	color
darkslateblue (#2C33B2)	color
midnightblue (#2C0F33)	color
limegreen (#33F12C)	color
darkslateblue (#2C3389)	color
darkslategray (#2C3733)	color
firebrick (#C82C33)	color
darkolivegreen (#33602C)	color
darkslategray (#2C6033)	color
darkslateblue (#332CC8)	color
darkslategray (#33372C)	color
brown (#89332C)	color
limegreen (#2CF133)	color
black (#330F2C)	color
brown (#B2332C)	color
darkslategray (#2C1A33)	color
crimson (#E62C33)	color
royalblue (#332CDB)	color
darkslategray (#2C4233)	color
firebrick (#BD2C33)	color
black (#332C04)	color
saddlebrown (#6B332C)	color
darkslateblue (#2C3394)	color
darkslategray (#2C2C33)	color
mediumturquoise (#33C9C9)	color
slateblue (#6033C9)	color
mediumvioletred (#C93370)	color
goldenrod (#D9C933)	color
limegreen (#33C951)	color
steelblue (#337FC9)	color
goldenrod (#E8C933)	color
limegreen (#33C942)	color
steelblue (#338EC9)	color
mediumorchid (#C933F7)	color
firebrick (#C93333)	color
steelblue (#339DC9)	color
firebrick (#C93306)	color
crimson (#C92433)	color
yellowgreen (#ACC933)	color
mediumblue (#3315C9)	color
crimson (#C91533)	color
lightseagreen (#33C9AC)	color
mediumblue (#3324C9)	color
mediumblue (#0633C9)	color
goldenrod (#C99D33)	color
royalblue (#3333C9)	color
hotpink (#F733C9)	color
peru (#C98E33)	color
limegreen (#42C933)	color
turquoise (#33C9E8)	color
peru (#C97F33)	color
limegreen (#51C933)	color
mediumturquoise (#33C9D9)	color
blueviolet (#7033C9)	color
indianred (#C93360)	color
goldenrod (#C9C933)	color
darkslategray (#336666)	color
midnightblue (#2D3366)	color
darkslateblue (#663374)	color
sienna (#AE6633)	color
royalblue (#3366E6)	color
mediumseagreen (#33BB66)	color
tomato (#F56633)	color
steelblue (#33669F)	color
midnightblue (#330266)	color
saddlebrown (#66333C)	color
darkolivegreen (#665833)	color
darkslategray (#334966)	color
darkslateblue (#663383)	color
maroon (#661133)	color
sienna (#906633)	color
mediumseagreen (#33CA66)	color
yellowgreen (#66CA33)	color
darkslateblue (#336690)	color
midnightblue (#331166)	color
purple (#833366)	color
darkolivegreen (#664933)	color
darkslategray (#335866)	color
darkslategray (#3C3366)	color
maroon (#660233)	color
sienna (#9F6633)	color
royalblue (#3366F5)	color
olivedrab (#66BB33)	color
chocolate (#E66633)	color
steelblue (#3366AE)	color
dimgray (#743366)	color
saddlebrown (#66332D)	color
darkolivegreen (#666633)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
darkslategray (#444444)	color
mediumturquoise (#44C0C0)	color
darkorchid (#AA44C0)	color
mediumorchid (#C044F5)	color
limegreen (#0BC044)	color
mediumseagreen (#44C060)	color
slateblue (#443FC0)	color
limegreen (#56C044)	color
limegreen (#44C015)	color
steelblue (#448AC0)	color
palevioletred (#C044A0)	color
yellowgreen (#C0CB44)	color
mediumturquoise (#44D5C0)	color
mediumorchid (#C044EB)	color
peru (#C08044)	color
limegreen (#1EC044)	color
darkslateblue (#4435C0)	color
brown (#C03544)	color
limegreen (#44C01E)	color
steelblue (#4480C0)	color
hotpink (#EB44C0)	color
yellowgreen (#C0D544)	color
mediumturquoise (#44CBC0)	color
darkorchid (#A044C0)	color
peru (#C08A44)	color
limegreen (#15C044)	color
mediumseagreen (#44C056)	color
indianred (#C03F44)	color
limegreen (#60C044)	color
limegreen (#44C00B)	color
hotpink (#F544C0)	color
mediumorchid (#C044AA)	color
darkkhaki (#C0C044)	color
darkslategray (#443C3C)	color
darkslategray (#10443C)	color
darkslateblue (#3C44A5)	color
indianred (#D23C44)	color
darkslateblue (#443C7B)	color
darkslategray (#443A3C)	color
darkolivegreen (#673C44)	color
royalblue (#443CE6)	color
limegreen (#44D03C)	color
royalblue (#3C44FC)	color
darkslategray (#3C5144)	color
darkolivegreen (#44653C)	color
darkslateblue (#3C4491)	color
limegreen (#3CBB44)	color
tomato (#FA3C44)	color
darkslategray (#44263C)	color
darkslategray (#3C2644)	color
royalblue (#443CFA)	color
limegreen (#44BB3C)	color
sienna (#91443C)	color
darkslategray (#3C6544)	color
darkslategray (#44513C)	color
tomato (#FC443C)	color
limegreen (#3CD044)	color
crimson (#E63C44)	color
darkslateblue (#443C67)	color
darkslategray (#3C3A44)	color
sienna (#7B3C44)	color
royalblue (#443CD2)	color
sienna (#A5443C)	color
darkolivegreen (#3C4410)	color
darkslategray (#3C3C44)	color
mediumturquoise (#44B8B8)	color
slateblue (#7644B8)	color
indianred (#B84456)	color
yellowgreen (#98B844)	color
mediumseagreen (#44B896)	color
darkslateblue (#4435B8)	color
yellowgreen (#78B844)	color
mediumturquoise (#44B8B6)	color
indigo (#4415B8)	color
indianred (#B84458)	color
yellowgreen (#B8D744)	color
turquoise (#44F5B8)	color
sienna (#B84437)	color
greenyellow (#B8F744)	color
goldenrod (#D5B844)	color
darkslateblue (#4417B8)	color
firebrick (#B81744)	color
mediumturquoise (#44B8D5)	color
turquoise (#44F7B8)	color
darkslateblue (#3744B8)	color
greenyellow (#B8F544)	color
mediumturquoise (#44D7B8)	color
slateblue (#5844B8)	color
firebrick (#B81544)	color
yellowgreen (#B6B844)	color
mediumseagreen (#44B878)	color
brown (#B83544)	color
yellowgreen (#96B844)	color
cadetblue (#44B898)	color
slateblue (#5644B8)	color
indianred (#B84476)	color
darkkhaki (#B8B844)	color
darkslategray (#443434)	color
chocolate (#DC4434)	color
darkgreen (#344406)	color
darkslategray (#5F3444)	color
darkslateblue (#4434B1)	color
darkslategray (#443034)	color
brown (#893444)	color
darkslateblue (#443487)	color
darkolivegreen (#445B34)	color
darkslateblue (#3444B3)	color
darkslategray (#345D44)	color
darkolivegreen (#448534)	color
royalblue (#3444DE)	color
darkslategray (#343244)	color
brown (#AF3444)	color
midnightblue (#440834)	color
midnightblue (#340844)	color
darkslateblue (#4434AF)	color
darkslategray (#443234)	color
chocolate (#DE4434)	color
seagreen (#348544)	color
darkolivegreen (#445D34)	color
sienna (#B34434)	color
darkslategray (#345B44)	color
brown (#873444)	color
darkslateblue (#443489)	color
darkslategray (#343044)	color
brown (#B13444)	color
darkslategray (#44345F)	color
darkslategray (#064434)	color
royalblue (#3444DC)	color
darkslategray (#343444)	color
cadetblue (#44B0B0)	color
darkslateblue (#4244B0)	color
mediumorchid (#B044B6)	color
limegreen (#25B044)	color
mediumturquoise (#44B0CD)	color
darkslateblue (#442BB0)	color
yellowgreen (#9AB044)	color
mediumseagreen (#44B058)	color
steelblue (#44A0B0)	color
sienna (#B0440F)	color
greenyellow (#B0E344)	color
indigo (#4415B0)	color
mediumvioletred (#B04484)	color
peru (#B06E44)	color
yellowgreen (#8AB044)	color
turquoise (#44F9B0)	color
greenyellow (#B0F944)	color
mediumseagreen (#44B08A)	color
steelblue (#446EB0)	color
darkorchid (#8444B0)	color
brown (#B01544)	color
turquoise (#44E3B0)	color
darkslateblue (#0F44B0)	color
peru (#B0A044)	color
olivedrab (#58B044)	color
cadetblue (#44B09A)	color
brown (#B02B44)	color
goldenrod (#CDB044)	color
limegreen (#44B025)	color
mediumorchid (#B644B0)	color
sienna (#B04442)	color
yellowgreen (#B0B044)	color
darkslategray (#442C2C)	color
sienna (#A7442C)	color
darkslategray (#2C4467)	color
crimson (#EC2C44)	color
royalblue (#442CE8)	color
darkslategray (#44262C)	color
brown (#AB2C44)	color
darkslategray (#442C28)	color
limegreen (#44E62C)	color
darkslategray (#2C446B)	color
darkslategray (#2C6944)	color
forestgreen (#44A52C)	color
darkslategray (#2C442A)	color
seagreen (#2CA944)	color
darkslategray (#652C44)	color
limegreen (#44EA2C)	color
limegreen (#2CEA44)	color
darkslateblue (#442C65)	color
limegreen (#44A92C)	color
darkslategray (#2A442C)	color
seagreen (#2CA544)	color
darkolivegreen (#44692C)	color
saddlebrown (#6B442C)	color
limegreen (#2CE644)	color
darkslategray (#282C44)	color
darkslateblue (#442CAB)	color
darkslategray (#2C2644)	color
crimson (#E82C44)	color
